Subject ID,Experimental Batch,List Number,Question Preview,Data Collection Site,Comprehension Score - Regular Trials,Comprehension Score - Repeated Reading,Recalibration Count,Mean Validation Error,Total Session Duration,Session Duration,Dominant Eye,Tracked Eye,LexTALE Score*
135,1,45,False,MIT,85,100,2,,39.705349999999996,36.2678,L,L,
139,1,45,True,MIT,78,91,8,,44.111516666666716,35.31716666666667,R,R,
306,2,45,True,MIT,76,100,10,,62.637766666666664,42.939733333333336,R,R,
415,3,45,False,Technion,48,67,1,,71.22443333333334,62.81626666666667,L,R,80.0
452,3,45,True,Technion,54,42,3,,64.57085000000001,47.76426666666667,R,R,98.75
543,2,45,False,MIT,81,92,1,,41.65130000000001,37.35733333333334,R,R,87.5
137,1,46,False,MIT,93,100,2,,59.38533333333333,54.38973333333333,L,L,
141,1,46,True,MIT,85,100,1,,45.317433333333334,39.566,R,R,
2096,3,46,False,MIT,80,75,7,,49.20691666666667,29.851633333333332,R,R,97.5
311,2,46,True,MIT,80,90,6,,49.6270833333333,40.03065,R,R,
317,2,46,False,MIT,87,100,11,,57.153433333333346,32.30871666666666,R,R,
453,3,46,True,Technion,81,92,10,,67.17840000000001,53.303999999999995,R,R,87.5
138,1,47,False,MIT,89,78,13,,63.65818333333334,35.18213333333333,R,R,
144,1,47,True,MIT,91,100,10,,59.858850000000004,49.65445,L,L,
313,2,47,True,MIT,81,36,2,,56.408066666666656,50.129,R,R,
319,2,47,False,MIT,83,91,0,,40.66661666666667,36.180150000000005,R,R,
420,3,47,False,Technion,78,100,1,,65.60131666666668,52.038516666666666,R,R,93.75
457,3,47,True,Technion,91,100,2,,62.928583333333336,52.51236666666667,R,R,100.0
140,1,48,False,MIT,87,80,3,,37.41816666666665,32.6559,L,L,
153,1,48,True,MIT,94,90,12,,39.99644999999998,33.75143333333333,L,L,
315,2,48,True,MIT,87,91,11,,53.013233333333325,42.63881666666667,R,R,
421,3,48,False,Technion,85,70,3,,64.69381666666666,46.43805,R,R,96.25
422,3,48,True,Technion,93,90,3,,48.30356666666667,35.25608333333333,R,R,97.5
535,2,48,False,MIT,67,100,6,,34.24553333333334,26.5742,R,R,95.0
143,1,49,False,MIT,81,78,8,,76.35441666666662,71.19685,R,R,
154,1,49,True,MIT,91,100,5,,64.41433333333333,60.78106666666667,L,L,
424,3,49,False,Technion,67,77,9,,65.28983333333332,49.83101666666666,R,R,91.25
471,2,49,False,Technion,87,80,1,,48.32048333333333,42.13371666666667,R,R,90.0
510,2,49,True,MIT,100,100,3,,51.72598333333333,46.20766666666667,R,R,95.0
529,3,49,True,MIT,91,92,7,,51.98276666666666,38.8688,R,R,98.75
169,2,4,True,MIT,96,100,2,,52.507333333333335,50.87716666666667,R,R,
172,2,4,False,MIT,89,100,1,,55.38310000000001,48.8354,L,L,
326,3,4,True,MIT,87,100,5,,41.09791666666668,33.86163333333334,R/L,R,
331,3,4,False,MIT,78,78,13,,58.81876666666667,40.67876666666667,R,R,
68,1,4,True,MIT,85,82,5,,62.95798333333334,57.71941666666667,L,L,
80,1,4,False,MIT,93,100,3,,28.77613333333332,25.403866666666666,L,L,
145,1,50,False,MIT,72,64,1,,45.61443333333335,38.71091666666667,R,R,
156,1,50,True,MIT,85,82,3,,51.90921666666668,46.800266666666666,L/R,L,
425,3,50,False,Technion,76,80,11,,114.32130000000001,67.38245,L,R,95.0
460,3,50,True,Technion,81,90,4,,55.397299999999994,30.695016666666668,R,R,85.0
472,2,50,False,Technion,76,70,14,,73.13946666666666,44.856366666666666,R,R,96.25
474,2,50,True,MIT,78,90,10,,62.073966666666664,47.488150000000005,R,R,96.25
